term	class_number	class_status	tuition	start_date	end_date	faculty	location	room	days	start_time	end_time	comments	title	course_description	prerequisites	major_division	minor_division	cluster	hours	session	cluster_description	catalogpghdr	suffixdesc
2005SP	COMG-1004-23001	Open	$98.00 	4/9/2005	6/18/2005	Subicheva	BHEC	012	S	1/0/1900	1/0/1900	12 lab hours included to be attended at	Communications Improvement Three						60	12
2005SP	COMG-1008-22201	Open	$98.00 	1/11/2005	3/3/2005	Lora	BHEC	015	TR	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Six	"This advanced English course provides further comprehensive grammar review with reading and writing.  Focuses on communication situations found in business and the workplace for students whose primary language is other than English. Emphasizes internal communication with employees and external communication with customers, clients, and suppliers. Covers problem-solving and decision-making communications, both written and oral; intercultural and international communication; and business etiquette.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	20
2005SP	COMG-1008-23001	Open	$98.00 	4/9/2005	6/18/2005	Lora	BHEC	010	S	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Six	"This advanced English course provides further comprehensive grammar review with reading and writing.  Focuses on communication situations found in business and the workplace for students whose primary language is other than English. Emphasizes internal communication with employees and external communication with customers, clients, and suppliers. Covers problem-solving and decision-making communications, both written and oral; intercultural and international communication; and business etiquette.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	12			
2005SP	RSTO-1041-22003	Open	$100.00 	3/5/2005	3/12/2005	Bronar-Skipworth	BHEC	005	S	1/0/1900	1/0/1900		Food Protection Management Certification	"This is a 15-hour training and certification course for people in charge of establishments which prepare and serve food to the public. The accredited program consists of 15 hours of classroom training with a one-hour test. TOPICS COVERED:  proper food storage, sanitary food service preparation, pest control, employee sanitation training, housekeeping management, accident prevention and conforming to sanitation regulations and standards. This course complies with the regulations of Dallas, Carrollton, Farmers Branch, and many other cities requiring certification.  It is structured around the Texas Department of Health, Food and Drug Administration rules on food service sanitation. Tuition for the class includes the textbook which is given out on the first day of training."		Food Protection and Foods		Food Protection Management Certification	15	1			
2005SP	RSTO-1041-22004	Open	$100.00 	4/16/2005	4/23/2005	Bronar-Skipworth	BHEC	005	S	1/0/1900	1/0/1900		Food Protection Management Certification	"This is a 15-hour training and certification course for people in charge of establishments which prepare and serve food to the public. The accredited program consists of 15 hours of classroom training with a one-hour test. TOPICS COVERED:  proper food storage, sanitary food service preparation, pest control, employee sanitation training, housekeeping management, accident prevention and conforming to sanitation regulations and standards. This course complies with the regulations of Dallas, Carrollton, Farmers Branch, and many other cities requiring certification.  It is structured around the Texas Department of Health, Food and Drug Administration rules on food service sanitation. Tuition for the class includes the textbook which is given out on the first day of training."		Food Protection and Foods		Food Protection Management Certification	15	1			
2005SP	RSTO-1041-22005	Open	$100.00 	5/14/2005	5/21/2005	Bronar-Skipworth	BHEC	005	S	1/0/1900	1/0/1900		Food Protection Management Certification	"This is a 15-hour training and certification course for people in charge of establishments which prepare and serve food to the public. The accredited program consists of 15 hours of classroom training with a one-hour test. TOPICS COVERED:  proper food storage, sanitary food service preparation, pest control, employee sanitation training, housekeeping management, accident prevention and conforming to sanitation regulations and standards. This course complies with the regulations of Dallas, Carrollton, Farmers Branch, and many other cities requiring certification.  It is structured around the Texas Department of Health, Food and Drug Administration rules on food service sanitation. Tuition for the class includes the textbook which is given out on the first day of training."		Food Protection and Foods		Food Protection Management Certification	15	1			
2005SP	RSTO-2041-22001	Open	$60.00 	4/2/2005	4/2/2005	Bronar-Skipworth	BHEC	005	S	1/0/1900	1/0/1900		Food Protection Management Recertification	"NOTE:  If your current certificate has expired and it has been over 30 days, you will need to register for the 15-hour certification class. This course is a seven-hour recertification program for people employed in the food industry who have previously completed an accredited 15-hour certification program.  TOPICS COVERED:  categories of food contamination, factors that contribute to food borne illness, prevention of food borne illness and introduction of HACCP. This course meets the training requirements mandated by the cities of Carrollton, Coppell, Dallas, Farmers Branch, Garland, Lewisville and Mesquite.  Students from other cities should contact their local health departments to verify training requirements for recertification.  Tuition includes the textbook which is distributed on the training date."		Food Protection and Foods		Food Protection Management Recertification	7	0			"
DID YOU KNOW?
Food Protection Classes can be taught on-site at restaurants and hotels. For more information on Corporate Training Courses, please call  972-860-4384"
2005SP	COMG-1006-23002	Open	$98.00 	5/3/2005	6/23/2005	Lora	BHEC	015	TR	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Eight	"This university-level grammar review is a continuation of Communication Improvement Seven.  It provides further mastery of a selected vocabulary of technical/occupational terms, including appropriate pronunciation of terms and use of English language structures required by business and industry for successful on-the-job-performance.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	48	16			
2005SP	CHOT-1009-22008	Open	$100.00 	2/5/2005	2/19/2005	Harkey	BHNC	135	S	1/0/1900	1/0/1900		Saturday Morning School: K through 1st grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	CHOT-1009-22009	Open	$100.00 	2/5/2005	2/19/2005	Harkey	BHNC	136	S	1/0/1900	1/0/1900		Saturday Morning School: 2nd through 3rd grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	CHOT-1009-22010	Open	$100.00 	2/5/2005	2/19/2005	Harkey	BHNC	111	S	1/0/1900	1/0/1900		Saturday Morning School: 4th through 5th grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	CHOT-1009-22011	Open	$100.00 	2/5/2005	2/19/2005	Harkey	BHNC	112	S	1/0/1900	1/0/1900		Saturday Morning School: 6th through 7th grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	COMG-1000-22201	Open	$98.00 	1/10/2005	2/11/2005	Sayre	BHEC	016	MTWRF	1/0/1900	1/0/1900	12 hours included to be attended at	Communications Improvement One	"Designed for students whose primary language is other than English. Presentation of industry-related basic reading, writing, speaking, and listening skills. Emphasis on high-frequency vocabulary (basic sight words) and phonics; refining oral and written production and listening skills for enhanced job productivity; and increasing control of the English sound system to minimize on-the-job miscommunication or misperception due to foreign accent.  Basic speaking, reading and writing skills are expected.  The course will lead to a vocabulary of 600 words focusing primarily on present and future tenses.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	30			
2005SP	CHOT-1009-22012	Open	$100.00 	3/5/2005	3/19/2005	Harkey	BHNC	135	S	1/0/1900	1/0/1900		Saturday Morning School: K through 1st grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	CHOT-1009-22013	Open	$100.00 	3/5/2005	3/19/2005	Harkey	BHNC	136	S	1/0/1900	1/0/1900		Saturday Morning School: 2nd through 3rd grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	COMG-1001-22202	Open	$98.00 	2/14/2005	3/17/2005	Sayre	BHEC	016	MTWRF	1/0/1900	1/0/1900	12 lab hours included to be attended at	Communications Improvement Two	"This course prepares people for employment who can speak, read and write basic English.  Conversational, listening, reading, and writing skills are further developed to provide the student with a functional vocabulary range of 1200 words focusing on present, future and past tenses.  It provides on-the-job dynamic communicative practice for students whose primary language is other than English, exposing students to the uses of language in a variety of relevant job-related contexts.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	30			
2005SP	CHOT-1009-22014	Open	$100.00 	3/5/2005	3/19/2005	Harkey	BHNC	111	S	1/0/1900	1/0/1900		Saturday Morning School: 4th through 5th grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3			
2005SP	COMG-1004-23002	Open	$98.00 	3/21/2005	4/22/2005	Sayre	BHEC	016	MTWRF	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Three						60	30			
2005SP	CHOT-1009-22015	Open	$100.00 	3/5/2005	3/19/2005	Harkey	BHNC	112	S	1/0/1900	1/0/1900		Saturday Morning School: 6th through 7th grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3	
2005SP	CHOT-1009-22016	Open	$100.00 	4/2/2005	4/16/2005	Harkey	BHNC	135	S	1/0/1900	1/0/1900		Saturday Morning School: K through 1st grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3	
2005SP	COMG-1005-23001	Open	$98.00 	4/25/2005	5/26/2005	Sayre	BHEC	016	MTWRF	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Four	"This course provides an intermediate level review of English, using a conversational method to review all verb tenses and practice advanced vocabulary.   Designed for students whose primary language is other than English. Focus on comprehending challenging industrial and job-related materials. Emphasis on industry-related vocabulary development and skills acquisition, including determining meaning from context, identifying word forms and variation in meaning, synonyms and antonyms, context clues, connotation and denotation, and fact and opinion.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	30	
2005SP	COMG-1007-22201	Open	$98.00 	1/8/2005	4/2/2005	Lora	BHEC	010	S	1/0/1900	1/0/1900	12 Lab Hours included to be attended at	Communications Improvement Five	This advanced English course provides detailed grammar review with an emphasis on reading and writing.  Designed for students whose primary language is other than English. Exploration of various reference sources and practice suggested proofreading techniques to assist with on-the-job document production.  Twelve lab hours included to be attended at the convenience of the student.		ESOL		ESOL	60	12	
2005SP	CHOT-1009-22017	Open	$100.00 	4/2/2005	4/16/2005	Harkey	BHNC	136	S	1/0/1900	1/0/1900		Saturday Morning School: 2nd through 3rd grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3	
2005SP	CHOT-1009-22018	Open	$100.00 	4/2/2005	4/16/2005	Harkey	BHNC	111	S	1/0/1900	1/0/1900		Saturday Morning School: 4th through 5th grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3	
2005SP	CHOT-1009-22019	Open	$100.00 	4/2/2005	4/16/2005	Harkey	BHNC	112	S	1/0/1900	1/0/1900		Saturday Morning School: 6th through 7th grades	"This course is designed to help your child sharpen their learning skills, in a relaxed setting, at a relaxed time, so as to promote learning and make learning fun. Classes will offer age-appropriate instruction in reading, writing, math, and study skills, with each class being taught by teachers who are professionals in their field. All materials will be supplied. For more information, please call 972-662-0665. Class meets at Choices Leadership Academy, which is located at 18106 Marsh Lane (corner of Frankford and Marsh, just south of the Geo. Bush Expwy.) Dallas, Texas 75287."		Children/Youth		Youth Programs	9	3	
2005SP	COMG-1006-23001	Open	$98.00 	3/8/2005	4/28/2005	Lora	BHEC	015	TR	1/0/1900	1/0/1900	12 Lab Hours included ot be attended at	Communications Improvement Seven	"This advanced English course provides university level grammar review.   Advanced mastery of a selected vocabulary of technical/occupational terms, including appropriate pronunciation of terms and use of English language structures required by business and industry for successful on-the-job performance.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	48	16	
2005SP	COMG-1008-22203	Open	$98.00 	1/10/2005	2/7/2005	Murray	BHEC	018	MTWR	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Six	"This advanced English course provides further comprehensive grammar review with reading and writing.  Focuses on communication situations found in business and the workplace for students whose primary language is other than English. Emphasizes internal communication with employees and external communication with customers, clients, and suppliers. Covers problem-solving and decision-making communications, both written and oral; intercultural and international communication; and business etiquette.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	20	
2005SP	RELE-1018-23203	Open	$105.00 	4/2/2005	4/10/2005		BHC	TBA	SU	1/0/1900	1/0/1900		RE: LAW OF CONTRACTS	"In this comprehensive study of all real estate contracts in use in Texas, you will study listing agreements, earnest money contracts,   leases and formation of contracts. You will learn the importance of each clause. Using case studies, you will become adept at completing contracts of sale involving all cash, assumptions, conventional and government loans. You will complete contracts involving unimproved land, new construction, farm and ranch properties, townhouses, condominiums, and single family dwellings. You will also learn about the statute of frauds, remedies for a breach, seller's disclosures, unauthorized practice of law, how and when to obtain the assistance of a title company, a loan officer and attorneys.  This course covers real estate contracts/principles involved in promulgated contracts.  Included are contracts for VA, FHA, conventional, and owner financed."		Real Estate		Real Estate Held on Brookhaven Campus	30	3	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	ESOL-1003-23003	Open	$75.00 	5/16/2005	6/1/2005	Murray	BHEC	018	MTWR	1/0/1900	1/0/1900	Skip 05/30/2005 Memorial Day Office Closed.	Conversation Seven	"This advanced English conversation course is a continuation of Conversation Six.  It is designed for students who have advanced ESOL speaking, reading and writing skills.  Emphasis will be placed on vocabulary building and listening/speaking skills through directed conversation, small group discussions, role-play and individual presentations."		ESOL		ESOL	30	10	
2005SP	RELE-1002-22204	Open	$105.00 	2/22/2005	3/24/2005		BHC	TBA	TR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate Held on Brookhaven Campus	30	10	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-1002-22205	Open	$105.00 	2/22/2005	3/24/2005		BHC	TBA	TR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate Held on Brookhaven Campus	30	10	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-1002-22206	Open	$105.00 	2/26/2005	3/6/2005		BHC	TBA	SU	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES TWO	"A continuation of Principles and Practices One, this course includes discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment.   An overview of licensing as a real estate broker and salesperson, ethics of practice, titles to and conveyancing of real estate, legal descriptions, law of agency, deeds, encumbrances and liens, distinctions between personal and real property, contracts, appraisal, finance and regulations, closing procedures, and real estate mathematics.  Also includes federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate Held on Brookhaven Campus	30	3	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	COMG-1000-22202	Open	$98.00 	2/14/2005	3/17/2005	Mendes	BHEC	010	MTWRF	1/0/1900	1/0/1900	12 Lab Hours included to be attended at	Communications Improvement One	"Designed for students whose primary language is other than English. Presentation of industry-related basic reading, writing, speaking, and listening skills. Emphasis on high-frequency vocabulary (basic sight words) and phonics; refining oral and written production and listening skills for enhanced job productivity; and increasing control of the English sound system to minimize on-the-job miscommunication or misperception due to foreign accent.  Basic speaking, reading and writing skills are expected.  The course will lead to a vocabulary of 600 words focusing primarily on present and future tenses.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	30	
2005SP	COMG-1001-23003	Open	$98.00 	3/21/2005	4/22/2005	Mendes	BHEC	010	MTWRF	1/0/1900	1/0/1900	12 Lab Hours included to be attended at	Communications Improvement Two	"This course prepares people for employment who can speak, read and write basic English.  Conversational, listening, reading, and writing skills are further developed to provide the student with a functional vocabulary range of 1200 words focusing on present, future and past tenses.  It provides on-the-job dynamic communicative practice for students whose primary language is other than English, exposing students to the uses of language in a variety of relevant job-related contexts.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	60	30	
2005SP	COMG-1004-23003	Open	$98.00 	5/2/2005	6/3/2005	Mendes	BHEC	010	MTWRF	1/0/1900	1/0/1900	12 Lab Hours included to be attended at	Communications Improvement Three						60	30	
2005SP	COMG-1006-22206	Open	$98.00 	1/10/2005	2/7/2005	Clausse	BHEC	001	MTWR	1/0/1900	1/0/1900	12 lab hours included to be attended at	Communications Improvement Seven	"This advanced English course provides university level grammar review.   Advanced mastery of a selected vocabulary of technical/occupational terms, including appropriate pronunciation of terms and use of English language structures required by business and industry for successful on-the-job performance.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	48	16	
2005SP	ITSW-1058-22015	Open	$125.00 	2/8/2005	2/24/2005		BHP	P121	TR	1/0/1900	1/0/1900		PowerPoint with Impact	"Want to create presentations that will be remembered long after the meeting has ended?  If you are already a PowerPoint user, and want to learn the extras that enhance your presentations, then this course is for you.  Students will learn how to creatively and consistently use concept from the beginning to the end of a presentation.  You will be limited only by your imagination in this dynamite intermediate course."		Computer Training		Office Technology	18	6	
2005SP	ITSW-1058-23016	Open	$125.00 	3/7/2005	3/23/2005		BHP	P121	MW	1/0/1900	1/0/1900		PowerPoint with Impact	"Want to create presentations that will be remembered long after the meeting has ended?  If you are already a PowerPoint user, and want to learn the extras that enhance your presentations, then this course is for you.  Students will learn how to creatively and consistently use concept from the beginning to the end of a presentation.  You will be limited only by your imagination in this dynamite intermediate course."		Computer Training		Office Technology	18	6	
2005SP	ITSW-1058-23012	Open	$480.00 	1/10/2005	2/14/2005	Wood	BHJ	J115	MWF	1/0/1900	1/0/1900		Miracle Text			Computer Training		JAWS Access with Speech Adaptive Software	45	15	"JAWS Access with Speech adaptive software is a screen reader software that allows the blind or visually impaired to access software applications and the Internet. The course is open to individuals interested in learning adaptive software; employers that have a blind employees who needs some additional training with their adaptive software; local companies, IT professionals wanting to learn more about the software; students or teachers of the visually impaired with local districts; or consumers of agencies that serve the blind and visually impaired. 120 hours of instruction/hands-on will be given and cover the following:"
2005SP	COMG-1006-22204	Open	$98.00 	2/8/2005	3/7/2005	Murray	BHEC	018	MTWR	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Seven	"This advanced English course provides university level grammar review.   Advanced mastery of a selected vocabulary of technical/occupational terms, including appropriate pronunciation of terms and use of English language structures required by business and industry for successful on-the-job performance.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	48	16	
2005SP	RELE-1002-22201	Open	$105.00 	1/18/2005	2/17/2005		BHC	TBA	TR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate Held on Brookhaven Campus	30	10	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	COMG-1006-23004	Open	$98.00 	3/8/2005	4/4/2005	Murray	BHEC	018	MTWR	1/0/1900	1/0/1900	12 Lab hours included to be attended at	Communications Improvement Eight	"This university-level grammar review is a continuation of Communication Improvement Seven.  It provides further mastery of a selected vocabulary of technical/occupational terms, including appropriate pronunciation of terms and use of English language structures required by business and industry for successful on-the-job-performance.  Twelve lab hours included to be attended at the convenience of the student."		ESOL		ESOL	48	16	
2005SP	RELE-1002-22202	Open	$105.00 	1/18/2005	2/17/2005		BHC	TBA	TR	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate Held on Brookhaven Campus	30	10	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-1002-22203	Open	$105.00 	1/22/2005	1/30/2005		BHC	TBA	SU	1/0/1900	1/0/1900		RE: PRINCIPLES AND PRACTICES ONE	"This course is an overview of TX real estate salesperson and broker licensing, ethics of practice, titles to and conveyancing of real estate, legal descriptions, deeds, encumbrances and liens, distinctions between personal and real property.  Also included are discussions of appraisal, finance and regulations, closing procedures, real estate mathematics, transfer of title, investment, title records, closing, leasing, property management, land use, federal, state, and local laws relating to housing discrimination, housing credit discrimination and community reinvestment."		Real Estate		Real Estate Held on Brookhaven Campus	30	3	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-1010-22201	Open	$105.00 	1/24/2005	2/23/2005		BHC	TBA	MW	1/0/1900	1/0/1900		RE: LAW OF AGENCY	"This course on Law of Agency satisfies the requirement for 30 hours of CORE courses.  Topics to be covered are principal-agent and master-servant relationships, the authority of an agent, the termination of an agent's authority, the fiduciary and other duties of an agent, employment law, deceptive trade practices, listing or buying representation procedures, and the disclosure of agency.  Provides a study of legal concepts of real estate, land description, real property rights, estates in land, contracts, conveyances, encumbrances, foreclosures, recording procedures, and evidence of title."		Real Estate		Real Estate Held on Brookhaven Campus	30	10	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-1010-22202	Open	$105.00 	1/24/2005	2/23/2005		BHC	TBA	MW	1/0/1900	1/0/1900		RE: LAW OF AGENCY	"This course on Law of Agency satisfies the requirement for 30 hours of CORE courses.  Topics to be covered are principal-agent and master-servant relationships, the authority of an agent, the termination of an agent's authority, the fiduciary and other duties of an agent, employment law, deceptive trade practices, listing or buying representation procedures, and the disclosure of agency.  Provides a study of legal concepts of real estate, land description, real property rights, estates in land, contracts, conveyances, encumbrances, foreclosures, recording procedures, and evidence of title."		Real Estate		Real Estate Held on Brookhaven Campus	30	10	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-1010-22203	Open	$105.00 	2/5/2005	2/13/2005		BHC	TBA	SU	1/0/1900	1/0/1900		RE: LAW OF AGENCY	"This course on Law of Agency satisfies the requirement for 30 hours of CORE courses.  Topics to be covered are principal-agent and master-servant relationships, the authority of an agent, the termination of an agent's authority, the fiduciary and other duties of an agent, employment law, deceptive trade practices, listing or buying representation procedures, and the disclosure of agency.  Provides a study of legal concepts of real estate, land description, real property rights, estates in land, contracts, conveyances, encumbrances, foreclosures, recording procedures, and evidence of title."		Real Estate		Real Estate Held on Brookhaven Campus	30	3	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
2005SP	RELE-2003-22201	Open	$99.00 	2/19/2005	2/20/2005		BHC	TBA	SU	1/0/1900	1/0/1900	A textbook is required.	RE: MCE UPDATE	"This course includes material such as legal updates, information on the Texas Housing Agency and the Texas Veterans Land Board; changes in courses of mortgage money; and a review of the regulatory changes resulting from FIRREA. This course has been approved by the Texas Real Estate Commission for 15 hours of Mandatory Continuing Education credit, 12 hours of which are legal topics. (RE Course #15-12-062-1691).  Provides mandatory continuing education as required by the Texas Real Estate Commission."		Real Estate		Real Estate Held on Brookhaven Campus	16	1	Brookhaven College offers the current educational requirements for obtaining a Real Estate salesperson's license. The courses are held at  Brookhaven College.
